"y_total_m_ha";"hoursWorkUsual";"age";"sex";"oficio";"relab";"college";"ocu";"clase";"cotPension";"cuentaPropia";"depto";"directorio";"dominio";"dsi";"estrato1";"formal";"fweight";"inac";"informal";"maxEducLevel";"mes";"pea";"pet";"sizeFirm";"wap";"regSalud";"age2";"ln_wage"
"55";11666.6669921875;60;56;1;21;5;0;1;1;1;0;11;4772528;"BOGOTA";0;3;1;216;0;0;7;11;1;1;2;1;1;3136;9.36449107970523
"56";4861.111328125;48;31;1;45;1;1;1;1;1;0;11;4772528;"BOGOTA";0;3;1;216;0;0;6;11;1;1;2;1;1;961;8.4890223590924
"57";3921.29638671875;48;22;1;39;1;1;1;1;1;0;11;4772528;"BOGOTA";0;3;1;216;0;0;6;11;1;1;4;1;1;484;8.27417758900935
"58";4666.66650390625;40;61;1;98;4;0;1;1;3;1;11;4772529;"BOGOTA";0;3;1;232;0;0;7;11;1;1;1;1;2;3721;8.44820028505205
"59";9488.17578125;40;41;0;13;1;0;1;1;1;0;11;4772530;"BOGOTA";0;2;1;263;0;0;7;11;1;1;4;1;1;1681;9.1578016477575
"60";4693.17431640625;48;25;1;3;1;0;1;1;1;0;11;4772531;"BOGOTA";0;1;1;367;0;0;7;11;1;1;5;1;1;625;8.4538644590224
"61";4081.26879882812;48;43;0;54;3;0;1;1;1;0;11;4772533;"BOGOTA";0;5;1;275;0;0;3;11;1;1;1;1;1;1849;8.31416319915885
"62";14233.3330078125;50;26;1;15;1;0;1;1;1;0;11;4772535;"BOGOTA";0;3;1;330;0;0;7;11;1;1;5;1;1;676;9.56334188767829
"63";8750;40;33;1;16;4;0;1;1;1;1;11;4772536;"BOGOTA";0;3;1;282;0;0;7;11;1;1;1;1;1;1089;9.07680897935166
"64";4375;8;39;0;45;4;0;1;1;2;1;11;4772537;"BOGOTA";0;1;0;467;0;1;4;11;1;1;1;1;3;1521;8.38366179879172
"65";4444.4443359375;21;55;1;97;4;0;1;1;2;1;11;4772537;"BOGOTA";0;1;0;467;0;1;1;11;1;1;1;1;3;3025;8.39941013134579
"66";3550.724609375;46;20;1;19;4;0;1;1;2;1;11;4772539;"BOGOTA";0;1;0;370;0;1;5;11;1;1;5;1;3;400;8.17490697695766
"67";11909.72265625;20;43;0;13;1;0;1;1;1;0;11;4772541;"BOGOTA";0;3;1;243;0;0;7;11;1;1;5;1;1;1849;9.38511037544932
"68";33333.33203125;40;34;1;12;4;0;1;1;1;1;11;4772542;"BOGOTA";0;3;1;228;0;0;7;11;1;1;2;1;1;1156;10.4143131372396
"69";9333.3330078125;40;47;1;97;1;0;1;1;1;0;11;4772544;"BOGOTA";0;2;1;234;0;0;5;11;1;1;5;1;1;2209;9.141347465612
"70";4530.3271484375;48;35;1;59;1;0;1;1;1;0;11;4772545;"BOGOTA";0;3;1;225;0;0;7;11;1;1;5;1;1;1225;8.41854943406759
"71";82444.4453125;60;51;0;12;1;0;1;1;1;0;11;4772546;"BOGOTA";0;5;1;135;0;0;7;11;1;1;5;1;1;2601;11.3198799553423
"72";21875;48;25;0;6;4;0;1;1;1;1;11;4772546;"BOGOTA";0;5;1;135;0;0;7;11;1;1;4;1;1;625;9.99309971122582
"73";3956.52172851562;46;60;1;80;1;0;1;1;2;0;11;4772547;"BOGOTA";0;3;0;287;0;1;4;11;1;1;2;1;3;3600;8.28312056688697
"74";4341.08544921875;43;54;0;80;4;0;1;1;2;1;11;4772547;"BOGOTA";0;3;0;287;0;1;5;11;1;1;2;1;3;2916;8.37587969933041
"75";11393.1123046875;8;30;1;13;4;0;1;1;2;1;11;4772547;"BOGOTA";0;3;0;287;0;1;7;11;1;1;5;1;3;900;9.34076426799066
"76";972.222229003906;48;27;1;3;1;0;1;1;2;0;11;4772547;"BOGOTA";0;3;0;287;0;1;7;11;1;1;2;1;3;729;6.87958440899089
"77";3500;16;59;0;54;3;0;1;1;2;0;11;4772548;"BOGOTA";0;3;0;136;0;1;5;11;1;1;1;1;3;3481;8.1605182474775
"78";5398.59814453125;60;40;0;39;1;0;1;1;1;0;11;4772549;"BOGOTA";0;2;1;179;0;0;7;11;1;1;5;1;1;1600;8.59389459598512
"79";3713.41333007812;60;23;1;3;1;0;1;1;1;0;11;4772549;"BOGOTA";0;2;1;179;0;0;7;11;1;1;5;1;1;529;8.21970676769013
